Issue Date,Violation,Street,Location,Discounted Fine,Full Fine,Point
18-Nov-21,MP22-Wrong side of Rd,Wolseley AVE,,52.5,70,
18-Nov-21,P01Meter Expired,Albert ST,"(49.8966, -97.1401)",45,60,
18-Nov-21,P16No Park,William AVE,"(49.905, -97.1575)",52.5,70,
18-Nov-21,P01Meter Expired,Albert ST,"(49.8957, -97.1402)",45,60,
18-Nov-21,P04Oversized Vehicle,Campbell ST,,52.5,70,
18-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
18-Nov-21,MP16-No Park,Furby ST,,52.5,70,
18-Nov-21,MP06-No Stop,Sherbrook ST,,52.5,70,
18-Nov-21,P16No Park,Corydon AVE,,52.5,70,
18-Nov-21,MP06-No Stop,Balmoral ST,,52.5,70,
18-Nov-21,P01Meter Expired,Vaughan ST,"(49.8887, -97.1483)",45,60,
18-Nov-21,MP06-No Stop,Balmoral ST,,52.5,70,
18-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
18-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
18-Nov-21,MP20-Parked on a Boulevard,Kenny ST,,52.5,70,
18-Nov-21,MP22-Wrong side of Rd,RUE VALADE ST,,52.5,70,
18-Nov-21,P05Overtime,RUE VALADE ST,,52.5,70,
18-Nov-21,P02Meter Overtime,Hargrave ST,"(49.8956, -97.146)",52.5,70,
18-Nov-21,P05Overtime,Clifton ST,,52.5,70,
18-Nov-21,P30Designated space,Grant AVE,,225,300,
18-Nov-21,P12L/Z Overtime,York AVE,"(49.8878, -97.1473)",52.5,70,
18-Nov-21,P05Overtime,RUE VALADE ST,,52.5,70,
18-Nov-21,P13Fire Hydrant,Smith ST,"(49.8916, -97.1415)",75,100,
18-Nov-21,P05Overtime,Clifton ST,,52.5,70,
18-Nov-21,P05Overtime,RUE VALADE ST,,52.5,70,
18-Nov-21,P01Meter Expired,Kennedy ST,"(49.8868, -97.1455)",45,60,
18-Nov-21,P16No Park,Corydon AVE,,52.5,70,
18-Nov-21,P02Meter Overtime,Portage Ave.,"(49.8944, -97.1415)",52.5,70,
18-Nov-21,P16No Park,RUE DESPINS ST,,52.5,70,
18-Nov-21,MP06-No Stop,Pacific AVE,,52.5,70,
18-Nov-21,P02Meter Overtime,Kennedy ST,"(49.8871, -97.1458)",52.5,70,
18-Nov-21,MP24-Wrong Direction,Parade DR,,52.5,70,
18-Nov-21,P01Meter Expired,LOT117-106 Israel Asper Way,"(49.8924, -97.1341)",45,60,
18-Nov-21,MP24-Wrong Direction,Lincrest RD,,52.5,70,
18-Nov-21,MP06-No Stop,Lindenwood DR E,,52.5,70,
18-Nov-21,P01Meter Expired,LOT117-106 Israel Asper Way,"(49.8922, -97.1341)",45,60,
18-Nov-21,MP06-No Stop,Lindenwood DR E,,52.5,70,
18-Nov-21,P01Meter Expired,LOT2-601 AIKINS,,45,60,
18-Nov-21,MP06-No Stop,Roberts CRES,,52.5,70,
18-Nov-21,P01Meter Expired,LOT117-106 Israel Asper Way,"(49.8922, -97.1343)",45,60,
18-Nov-21,MP06-No Stop,Lindenwood DR E,,52.5,70,
18-Nov-21,P03Rush Hour,Smith ST,"(49.8926, -97.1415)",75,100,
18-Nov-21,P03Rush Hour,Maryland ST,"(49.885, -97.1609)",75,100,
18-Nov-21,MP06-No Stop,Lindenwood DR E,,52.5,70,
18-Nov-21,P03Rush Hour,King ST,"(49.8965, -97.1421)",75,100,
18-Nov-21,MP06-No Stop,Lindenwood DR E,,52.5,70,
18-Nov-21,P03Rush Hour,Henderson HWY,"(49.9378, -97.0928)",75,100,
18-Nov-21,P03Rush Hour,Donald ST,"(49.8901, -97.1418)",75,100,
18-Nov-21,MP06-No Stop,Lindenwood DR E,,52.5,70,
18-Nov-21,MP22-Wrong side of Rd,Wethersfield RD,,52.5,70,
18-Nov-21,MP06-No Stop,Forest Park DR,,52.5,70,
18-Nov-21,P03Rush Hour,Stafford ST,"(49.8702, -97.1631)",75,100,
18-Nov-21,P06No Stop,Albert ST,"(49.896, -97.1405)",52.5,70,
18-Nov-21,MP06-No Stop,Forest Park DR,,52.5,70,
18-Nov-21,P03Rush Hour,Brazier ST,"(0.0, 0.0)",75,100,
18-Nov-21,MP06-No Stop,Enfield CRES,,52.5,70,
18-Nov-21,P03Rush Hour,Stafford ST,"(49.8709, -97.1636)",75,100,
18-Nov-21,MP06-No Stop,Enfield CRES,,52.5,70,
18-Nov-21,MP06-No Stop,Enfield CRES,,52.5,70,
18-Nov-21,MP06-No Stop,Enfield CRES,,52.5,70,
18-Nov-21,MP06-No Stop,Enfield CRES,,52.5,70,
18-Nov-21,MP22-Wrong side of Rd,Bertrand ST,,52.5,70,
18-Nov-21,P03Rush Hour,Portage Ave.,"(49.8824, -97.1895)",75,100,
18-Nov-21,MP03-Rush Hour,Keewatin ST,,75,100,
18-Nov-21,MP03-Rush Hour,Keewatin ST,,75,100,
18-Nov-21,MP03-Rush Hour,Keewatin ST,,75,100,
18-Nov-21,P03Rush Hour,St Mary AVE,"(49.8897, -97.1464)",75,100,
18-Nov-21,P14Improperly Parking,Aster AVE,"(0.0, 0.0)",52.5,70,
18-Nov-21,P12L/Z Overtime,Balmoral ST,"(49.8922, -97.1525)",52.5,70,
18-Nov-21,MP16-No Park,William AVE W,,52.5,70,
18-Nov-21,P03Rush Hour,Donald ST,"(49.8913, -97.1419)",75,100,
18-Nov-21,MP03-Rush Hour,Keewatin ST,,75,100,
18-Nov-21,P03Rush Hour,Donald ST,"(0.0, 0.0)",75,100,
18-Nov-21,P03Rush Hour,Donald ST,"(49.8904, -97.1421)",75,100,
18-Nov-21,P16No Park,Dalhousie DR,"(49.7962, -97.1532)",52.5,70,
18-Nov-21,P06No Stop,McDermot AVE,"(49.9044, -97.1636)",52.5,70,
18-Nov-21,P16No Park,William AVE,"(0.0, 0.0)",52.5,70,
18-Nov-21,MP06-No Stop,William AVE,,52.5,70,
18-Nov-21,P13Fire Hydrant,Market AVE,"(0.0, 0.0)",75,100,
18-Nov-21,P17Too close to a traffic sign,Morrow AVE,"(49.8525, -97.1014)",52.5,70,
18-Nov-21,P13Fire Hydrant,Garry ST,"(49.8866, -97.1369)",75,100,
18-Nov-21,P15Alley,Alley,"(49.8567, -97.1415)",52.5,70,
18-Nov-21,P24Wrong Direction,Glenboro PL,"(49.9583, -97.1037)",52.5,70,
18-Nov-21,P24Wrong Direction,Glenboro PL,"(49.9584, -97.1039)",52.5,70,
18-Nov-21,MP06-No Stop,Spence ST,,52.5,70,
18-Nov-21,P13Fire Hydrant,Smith ST,"(49.8911, -97.1409)",75,100,
18-Nov-21,P06No Stop,Ellice AVE,"(0.0, 0.0)",52.5,70,
18-Nov-21,P14Improperly Parking,York AVE,"(0.0, 0.0)",52.5,70,
18-Nov-21,P13Fire Hydrant,Burning Glass RD,"(49.8342, -97.0455)",75,100,
18-Nov-21,P13Fire Hydrant,Market AVE,"(0.0, 0.0)",75,100,
18-Nov-21,P30Designated space,Rorie ST,"(49.8983, -97.1362)",225,300,
18-Nov-21,P01Meter Expired,LOT117-106 Israel Asper Way,,45,60,
18-Nov-21,MP06-No Stop,William AVE,,52.5,70,
18-Nov-21,P12L/Z Overtime,Hargrave ST,"(0.0, 0.0)",52.5,70,
18-Nov-21,P06No Stop,Carlton ST,"(49.8861, -97.1423)",52.5,70,
18-Nov-21,P17Too close to a traffic sign,Bayfield AVE,"(49.8476, -97.0978)",52.5,70,
19-Nov-21,P13Fire Hydrant,Morrow AVE,"(49.8532, -97.0999)",75,100,
19-Nov-21,P13Fire Hydrant,Enfield CRES,"(49.8833, -97.113)",75,100,
19-Nov-21,P20Parked on a Boulevard,St Michael RD,"(49.826, -97.1343)",52.5,70,
19-Nov-21,MP24-Wrong Direction,Ulster ST,,52.5,70,
19-Nov-21,P04Oversized Vehicle,Kirkbridge DR,"(49.7841, -97.1625)",52.5,70,
19-Nov-21,P13Fire Hydrant,Frances ST,"(49.8988, -97.1481)",75,100,
19-Nov-21,P14Improperly Parking,James AVE,"(49.8993, -97.1357)",52.5,70,
19-Nov-21,P04Oversized Vehicle,Haggart AVE,"(0.0, 0.0)",52.5,70,
19-Nov-21,P06No Stop,Colony ST,"(49.8858, -97.1514)",52.5,70,
19-Nov-21,P19Crosswalk (MRKD/UNMRKD),Bryce ST,"(49.881, -97.1442)",52.5,70,
19-Nov-21,P16No Park,Langside ST,"(49.8855, -97.1567)",52.5,70,
19-Nov-21,MP03-Rush Hour,Keewatin ST,,75,100,
19-Nov-21,MP03-Rush Hour,Keewatin ST,,75,100,
19-Nov-21,P03Rush Hour,William AVE,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,Bannatyne AVE,"(49.8977, -97.138)",75,100,
19-Nov-21,P03Rush Hour,Smith ST,"(49.889, -97.1395)",75,100,
19-Nov-21,P03Rush Hour,Smith ST,"(49.8897, -97.1397)",75,100,
19-Nov-21,P03Rush Hour,McGregor ST,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,Corydon AVE,"(49.8698, -97.1567)",75,100,
19-Nov-21,P03Rush Hour,Corydon AVE,"(49.8692, -97.1582)",75,100,
19-Nov-21,MP06-No Stop,Wellington CRES,,52.5,70,
19-Nov-21,P03Rush Hour,William AVE,"(49.9044, -97.1575)",75,100,
19-Nov-21,P17Too close to a traffic sign,Aubrey ST,"(49.8821, -97.1752)",52.5,70,
19-Nov-21,P03Rush Hour,Talbot AVE,"(49.9067, -97.106)",75,100,
19-Nov-21,P03Rush Hour,McGregor ST,"(49.9299, -97.1391)",75,100,
19-Nov-21,P17Too close to a traffic sign,Langside ST,"(49.8839, -97.1566)",52.5,70,
19-Nov-21,MP24-Wrong Direction,Harvard AVE E,,52.5,70,
19-Nov-21,MP20-Parked on a Boulevard,Alverstone ST,,52.5,70,
19-Nov-21,MP06-No Stop,Alverstone ST,,52.5,70,
19-Nov-21,MP06-No Stop,Balmoral ST,,52.5,70,
19-Nov-21,MP16-No Park,Cornish AVE,,52.5,70,
19-Nov-21,MP06-No Stop,Home ST,,52.5,70,
19-Nov-21,MP16-No Park,Preston AVE,,52.5,70,
19-Nov-21,P13Fire Hydrant,Haggart AVE,"(0.0, 0.0)",75,100,
19-Nov-21,P24Wrong Direction,Louelda ST,"(0.0, 0.0)",52.5,70,
19-Nov-21,MP06-No Stop,Nassau ST N,,52.5,70,
19-Nov-21,MP06-No Stop,Wolseley AVE,,52.5,70,
19-Nov-21,MP06-No Stop,Sherbrook ST,,52.5,70,
19-Nov-21,P05Overtime,Furby ST,,52.5,70,
19-Nov-21,MP24-Wrong Direction,Lodge AVE,,52.5,70,
19-Nov-21,P17Too close to a traffic sign,McMillan AVE,,52.5,70,
19-Nov-21,MP16-No Park,Langside ST,,52.5,70,
19-Nov-21,MP06-No Stop,Bannatyne AVE,,52.5,70,
19-Nov-21,P01Meter Expired,Bannatyne AVE,"(0.0, 0.0)",45,60,
19-Nov-21,MP06-No Stop,Bannatyne AVE,,52.5,70,
19-Nov-21,P17Too close to a traffic sign,Wentworth ST,,52.5,70,
19-Nov-21,MP06-No Stop,Colony ST,,52.5,70,
19-Nov-21,MP06-No Stop,Sherbrook ST,,52.5,70,
19-Nov-21,P05Overtime,Victor ST,,52.5,70,
19-Nov-21,MP06-No Stop,Westwood DR,,52.5,70,
19-Nov-21,P05Overtime,Victor ST,,52.5,70,
19-Nov-21,P05Overtime,Victor ST,,52.5,70,
19-Nov-21,P26Fire Lane,Taylor AVE,,225,300,
19-Nov-21,MP06-No Stop,Balmoral ST,,52.5,70,
19-Nov-21,P05Overtime,Victor ST,,52.5,70,
19-Nov-21,P05Overtime,Furby ST,,52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9051, -97.1554)",52.5,70,
19-Nov-21,P62Veh.on priv.prop-Rule__,Rothesay ST,"(49.9522, -97.0665)",75,100,
19-Nov-21,P01Meter Expired,Navy WAY,"(49.8862, -97.138)",45,60,
19-Nov-21,P62Veh.on priv.prop-Rule__,Southwood AVE,,75,100,
19-Nov-21,P01Meter Expired,Navy WAY,"(49.8863, -97.1383)",45,60,
19-Nov-21,MP16-No Park,Crane AVE,,52.5,70,
19-Nov-21,MP22-Wrong side of Rd,Beliveau RD,,52.5,70,
19-Nov-21,P05Overtime,Rowandale AVE,"(0.0, 0.0)",52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,P05Overtime,Larchdale CRES,"(0.0, 0.0)",52.5,70,
19-Nov-21,MP06-No Stop,Colony ST,,52.5,70,
19-Nov-21,P05Overtime,Larchdale CRES,"(0.0, 0.0)",52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,P05Overtime,Duffield ST,,52.5,70,
19-Nov-21,MP24-Wrong Direction,Young ST,,52.5,70,
19-Nov-21,MP22-Wrong side of Rd,Berrydale AVE,,52.5,70,
19-Nov-21,MP24-Wrong Direction,Oxford ST,,52.5,70,
19-Nov-21,MP06-No Stop,Sara AVE,,52.5,70,
19-Nov-21,P13Fire Hydrant,Smith ST,"(49.8914, -97.1416)",75,100,
19-Nov-21,MP06-No Stop,Lodge AVE,,52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,MP24-Wrong Direction,Wolseley AVE,,52.5,70,
19-Nov-21,P62Veh.on priv.prop-Rule__,Coral Reef COVE,,75,100,
19-Nov-21,P06No Stop,Wellington CRES,,52.5,70,
19-Nov-21,MP16-No Park,Corydon AVE,,52.5,70,
19-Nov-21,P13Fire Hydrant,Garry ST,"(49.8919, -97.1391)",75,100,
19-Nov-21,MP24-Wrong Direction,Gertrude AVE,,52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,MP06-No Stop,Colony ST,,52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,MP06-No Stop,Balmoral ST,,52.5,70,
19-Nov-21,MP16-No Park,Balmoral ST,,52.5,70,
19-Nov-21,MP16-No Park,Balmoral ST,,52.5,70,
19-Nov-21,MP06-No Stop,Balmoral ST,,52.5,70,
19-Nov-21,MP16-No Park,Langside ST,,52.5,70,
19-Nov-21,MP06-No Stop,Balmoral ST,,52.5,70,
19-Nov-21,MP06-No Stop,Rouge RD,,52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9051, -97.1555)",52.5,70,
19-Nov-21,P06No Stop,Edison AVE,"(0.0, 0.0)",52.5,70,
19-Nov-21,P13Fire Hydrant,Osborne ST,"(49.8866, -97.1501)",75,100,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9053, -97.1556)",52.5,70,
19-Nov-21,P06No Stop,Carmen AVE,"(0.0, 0.0)",52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9053, -97.156)",52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,MP06-No Stop,Sherbrook ST,,52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9051, -97.1561)",52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9055, -97.1564)",52.5,70,
19-Nov-21,MP06-No Stop,Portage Ave.,,52.5,70,
19-Nov-21,MP24-Wrong Direction,Furby ST,,52.5,70,
19-Nov-21,MP16-No Park,Furby ST,,52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9053, -97.1563)",52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9054, -97.1567)",52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9055, -97.1568)",52.5,70,
19-Nov-21,P01Meter Expired,Vaughan ST,"(49.8887, -97.1481)",45,60,
19-Nov-21,MP24-Wrong Direction,McMillan AVE,,52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9056, -97.157)",52.5,70,
19-Nov-21,MP16-No Park,Novavista DR,,52.5,70,
19-Nov-21,MP22-Wrong side of Rd,Woodydell AVE,,52.5,70,
19-Nov-21,P06No Stop,Cottonwood RD,,52.5,70,
19-Nov-21,P05Overtime,RUE VALADE ST,,52.5,70,
19-Nov-21,P01Meter Expired,Vaughan ST,"(49.8886, -97.1483)",45,60,
19-Nov-21,P14Improperly Parking,Albert ST,"(49.896, -97.1411)",52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.906, -97.1572)",52.5,70,
19-Nov-21,P05Overtime,RUE VALADE ST,,52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,"(49.9057, -97.1576)",52.5,70,
19-Nov-21,P16No Park,Langside ST,"(49.8855, -97.1565)",52.5,70,
19-Nov-21,P14Improperly Parking,Adelaide ST,"(49.8992, -97.1427)",52.5,70,
19-Nov-21,P05Overtime,McGee ST,,52.5,70,
19-Nov-21,P13Fire Hydrant,Garry ST,"(0.0, 0.0)",75,100,
19-Nov-21,P14Improperly Parking,Adelaide ST,"(49.8992, -97.1427)",52.5,70,
19-Nov-21,P14Improperly Parking,Adelaide ST,"(0.0, 0.0)",52.5,70,
19-Nov-21,P14Improperly Parking,Adelaide ST,"(49.8992, -97.1428)",52.5,70,
19-Nov-21,P05Overtime,McGee ST,,52.5,70,
19-Nov-21,MP06-No Stop,Vermillion RD,,52.5,70,
19-Nov-21,P14Improperly Parking,James AVE,"(0.0, 0.0)",52.5,70,
19-Nov-21,MP24-Wrong Direction,Andrews ST,,52.5,70,
19-Nov-21,MP24-Wrong Direction,Machray AVE,,52.5,70,
19-Nov-21,P30Designated space,McDermot AVE,"(49.903, -97.1592)",225,300,
19-Nov-21,P30Designated space,Spence ST,"(49.8925, -97.1537)",225,300,
19-Nov-21,P03Rush Hour,Henderson HWY,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,Bannatyne AVE,"(49.8978, -97.1386)",75,100,
19-Nov-21,P03Rush Hour,Marion ST,"(49.8817, -97.1257)",75,100,
19-Nov-21,P03Rush Hour,Bannatyne AVE,"(49.898, -97.1382)",75,100,
19-Nov-21,MP24-Wrong Direction,Sinclair ST,,52.5,70,
19-Nov-21,P03Rush Hour,Henderson HWY,"(49.9387, -97.092)",75,100,
19-Nov-21,MP03-Rush Hour,Sherbrook ST,"(49.9037, -97.156)",75,100,
19-Nov-21,P03Rush Hour,Smith ST,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,Bannatyne AVE,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,Marion ST,"(49.8817, -97.1258)",75,100,
19-Nov-21,P03Rush Hour,Broadway,"(49.8855, -97.154)",75,100,
19-Nov-21,P03Rush Hour,Marion ST,"(49.8814, -97.1244)",75,100,
19-Nov-21,MP16-No Park,William AVE W,,52.5,70,
19-Nov-21,P03Rush Hour,King ST,"(49.8985, -97.1408)",75,100,
19-Nov-21,P03Rush Hour,St Mary AVE,"(49.8898, -97.1457)",75,100,
19-Nov-21,P03Rush Hour,St Mary AVE,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,AV TACHE AVE,"(49.8812, -97.1235)",75,100,
19-Nov-21,P03Rush Hour,King ST,"(49.8985, -97.1409)",75,100,
19-Nov-21,P03Rush Hour,Talbot AVE,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,Notre Dame Ave.,"(49.8997, -97.1534)",75,100,
19-Nov-21,P03Rush Hour,Pembina HWY,"(0.0, 0.0)",75,100,
19-Nov-21,P03Rush Hour,York AVE,"(49.8879, -97.142)",75,100,
19-Nov-21,P03Rush Hour,Goulet ST,,75,100,
19-Nov-21,MP24-Wrong Direction,Elgin AVE,,52.5,70,
19-Nov-21,MP03-Rush Hour,Keewatin ST,,75,100,
19-Nov-21,P03Rush Hour,Portage Ave.,"(49.8848, -97.1721)",75,100,
19-Nov-21,P03Rush Hour,Osborne ST,"(49.8617, -97.1318)",75,100,
19-Nov-21,P04Oversized Vehicle,Inkster BLVD,"(0.0, 0.0)",52.5,70,
19-Nov-21,MP16-No Park,William AVE W,,52.5,70,
19-Nov-21,P03Rush Hour,Donald ST,"(49.8865, -97.1397)",75,100,
19-Nov-21,MP16-No Park,William AVE W,,52.5,70,
19-Nov-21,P03Rush Hour,Donald ST,"(49.8883, -97.14)",75,100,
19-Nov-21,MP16-No Park,William AVE W,,52.5,70,
19-Nov-21,P04Oversized Vehicle,RUE LE MAIRE ST,"(49.7661, -97.1647)",52.5,70,
19-Nov-21,P05Overtime,Elgin AVE,,52.5,70,
19-Nov-21,P16No Park,Market AVE,"(49.8982, -97.1349)",52.5,70,
19-Nov-21,P13Fire Hydrant,Arthur ST,,75,100,
19-Nov-21,P12L/Z Overtime,Balmoral ST,"(0.0, 0.0)",52.5,70,
19-Nov-21,P04Oversized Vehicle,Maplegrove RD,"(0.0, 0.0)",52.5,70,
19-Nov-21,P13Fire Hydrant,Arundel RD,"(49.8705, -97.0872)",75,100,
19-Nov-21,P06No Stop,Portage Ave.,"(49.8908, -97.1512)",52.5,70,
19-Nov-21,P06No Stop,Portage Ave.,"(49.8909, -97.1512)",52.5,70,
19-Nov-21,P06No Stop,Lodge AVE,"(0.0, 0.0)",52.5,70,
19-Nov-21,P04Oversized Vehicle,Kaur Umber Trail,"(49.9573, -97.1987)",52.5,70,
19-Nov-21,P06No Stop,Carlton ST,"(49.8905, -97.1447)",52.5,70,
19-Nov-21,P06No Stop,Corydon AVE,"(0.0, 0.0)",52.5,70,
19-Nov-21,P06No Stop,Smith ST,"(49.8908, -97.1406)",52.5,70,
19-Nov-21,P21Obstructing- vehicle,Ambergate DR,"(0.0, 0.0)",75,100,
19-Nov-21,P06No Stop,King ST,"(49.8972, -97.1421)",52.5,70,
19-Nov-21,P06No Stop,Rorie ST,"(49.8979, -97.1363)",52.5,70,
19-Nov-21,P04Oversized Vehicle,Elm Park RD,"(49.8578, -97.1128)",52.5,70,
19-Nov-21,P06No Stop,York AVE,"(49.8898, -97.1387)",52.5,70,
19-Nov-21,P30Designated space,Rorie ST,"(49.8989, -97.137)",225,300,
19-Nov-21,P30Designated space,Rorie ST,"(49.898, -97.137)",225,300,
19-Nov-21,MP06-No Stop,Bannatyne AVE,,52.5,70,
19-Nov-21,MP06-No Stop,Bannatyne AVE,,52.5,70,
19-Nov-21,P54Abandoned/derelict,Agnes ST,"(49.8994, -97.1616)",225,300,
19-Nov-21,P54Abandoned/derelict,Agnes ST,"(49.8994, -97.1616)",225,300,
19-Nov-21,P13Fire Hydrant,Garry ST,"(0.0, 0.0)",75,100,
19-Nov-21,MP06-No Stop,Hargrave ST,,52.5,70,
19-Nov-21,MP06-No Stop,Cumberland AVE,,52.5,70,
20-Nov-21,P16No Park,LOT128-960 THOMAS,"(49.8991, -97.0841)",52.5,70,
20-Nov-21,MP06-No Stop,Enfield CRES,,52.5,70,
20-Nov-21,MP24-Wrong Direction,Bertrand ST,,52.5,70,
20-Nov-21,P17Too close to a traffic sign,El Tassi DR,"(49.9025, -97.0488)",52.5,70,
21-Mar-22,MP24-Wrong Direction,Bridge Lake DR,,52.5,70,
20-Nov-21,P17Too close to a traffic sign,Adamar RD,"(49.8247, -97.1524)",52.5,70,
20-Nov-21,P16No Park,Ross AVE,"(49.9027, -97.1448)",52.5,70,
20-Nov-21,P12L/Z Overtime,William AVE,"(49.9048, -97.1572)",52.5,70,
20-Nov-21,P13Fire Hydrant,Park East DR,"(49.7924, -97.1962)",75,100,
20-Nov-21,P14Improperly Parking,James AVE,"(0.0, 0.0)",52.5,70,
20-Nov-21,P06No Stop,William R. Clement PKY,"(49.8605, -97.2676)",52.5,70,
20-Nov-21,P24Wrong Direction,McLean ST,"(0.0, 0.0)",52.5,70,
20-Nov-21,P06No Stop,Assiniboine AVE,"(49.8865, -97.1359)",52.5,70,
20-Nov-21,P12L/Z Overtime,Edmonton ST,"(0.0, 0.0)",52.5,70,
20-Nov-21,P12L/Z Overtime,Hargrave ST,"(49.8863, -97.1405)",52.5,70,
20-Nov-21,P12L/Z Overtime,Hargrave ST,"(0.0, 0.0)",52.5,70,
20-Nov-21,P06No Stop,Enfield CRES,"(49.8834, -97.113)",52.5,70,
20-Nov-21,MP24-Wrong Direction,Bertrand ST,,52.5,70,
20-Nov-21,MP06-No Stop,AV TACHE AVE,,52.5,70,
20-Nov-21,P13Fire Hydrant,Dartmouth DR,,75,100,
20-Nov-21,P13Fire Hydrant,Assiniboine AVE,"(49.8848, -97.1407)",75,100,
20-Nov-21,P16No Park,Corydon AVE,,52.5,70,
20-Nov-21,P13Fire Hydrant,Park East DR,"(49.9029, -97.1452)",75,100,
20-Nov-21,P13Fire Hydrant,Corydon AVE,,75,100,
20-Nov-21,P06No Stop,Grosvenor AVE,,52.5,70,
20-Nov-21,MP06-No Stop,Stradbrook AVE,,52.5,70,
20-Nov-21,P06No Stop,Bole ST,,52.5,70,
20-Nov-21,MP06-No Stop,Osborne ST,,52.5,70,
20-Nov-21,MP06-No Stop,Osborne ST,,52.5,70,
20-Nov-21,MP06-No Stop,Osborne ST,,52.5,70,
20-Nov-21,P30Designated space,Rupert AVE,"(0.0, 0.0)",225,300,
20-Nov-21,P30Designated space,Rorie ST,"(0.0, 0.0)",225,300,
20-Nov-21,P01Meter Expired,Waterfront DR,,45,60,
20-Nov-21,P01Meter Expired,Waterfront DR,,45,60,
